,website,category,reachableornot,reason,requires_authentication,notes
839,tcm.com,entertainment,yes,,,
840,newyorker.com,entertainment,yes,,,
841,hbomax.com/,entertainment,yes,,requires_authentication,
842,ign.com,entertainment,yes,,,
843,disneyplus.com,entertainment,yes,,,
844,qidian.com,entertainment,no,,,
846,variety.com,entertainment,no,,,
847,starwars.com/,entertainment,yes,,no,
853,shazam.com,entertainment,no,,,
854,sonyentertainmentnetwork.com,entertainment,no,,,
855,gimy.app,entertainment,no,,,
856,thewrap.com/,entertainment,yes,,no,
871,collider.com,entertainment,no,,,
872,gawker.com,entertainment,no,,,
873,digtialspy.com,entertainment,no,,,
874,dailydot.com,entertainment,no,,,
875,hypebeast.com/,entertainment,yes,,no,
878,comedycentral.com/,entertainment,yes,,no,
887,meijutt.tv,entertainment,no,,,
888,cbr.com,entertainment,no,,,
889,boardgamegeek.com/,entertainment,yes,,no,
893,mydramalist.com/,entertainment,yes,,yes,
897,allmusic.com/,entertainment,yes,,no,
906,marvel.com/,entertainment,yes,,no,
912,rte.ie,entertainment,yes,,no,
913,parade.com,entertainment,no,,,
914,yy.com,entertainment,no,,,
915,smdyy.fun,entertainment,no,,,
916,realsimple.com/,entertainment,yes,,no,
918,tntdrama.com,entertainment,no,,,
919,viki.com/,entertainment,yes,,yes,
949,filimo.com,entertainment,no,,,
950,https://pbskids.org/,entertainment,no,,,
951,cdbaby.com/,entertainment,yes,,requires_authentication,
953,likee.video,entertainment,no,,,
954,teletarget.ru,entertainment,no,,,
955,yhdmp.cc,entertainment,no,,,
956,siriusxm.com,entertainment,no,,,
957,carrentals.com/,travel,yes,,no,
959,booking.com/,travel,yes,,no,
961,tripadvisor.com/,travel,yes,,no,
965,marriott.com/,travel,yes,,no,
978,uber.com,travel,no,,,
979,airbnb.com/,travel,yes,,no,
989,expedia.com/,travel,yes,,no,
990,hilton.com/,travel,yes,,no,
992,hyatt.com,travel,yes,,no,
993,hotels.com/,travel,yes,,no,
995,agoda.com,travel,yes,,no,
996,ihg.com/,travel,yes,,no,
1001,aa.com/,travel,yes,,no,
1002,lonelyplanet.com,travel,no,,,
1003,delta.com,travel,yes,,no,
1004,timeout.com,travel,no,,,
1005,irctc.co.in,travel,no,,,
1006,accor.com,travel,yes,,yes,
1007,ctrip.com,travel,no,,,
1008,vrbo.com,travel,yes,,no,
1009,united.com,travel,no,,,
1010,viator.com/,travel,yes,,no,
1019,ostrovok.ru/,travel,yes,,no,
1021,aaa.com/,travel,yes,,no,
1032,travelandleisure.com/,travel,yes,,no,
1042,flightaware.com,travel,yes,,no,
1043,skyscanner.net/,travel,yes,,requires_authentication,
1044,kayak.com,travel,yes,,googleauth,
1046,ryanair.com,travel,no,,,
1047,britishairways.com,travel,no,,,
1048,lufthansa.com,travel,no,,,
1049,cdnga.net,travel,no,,,
